id,category,question,gold,gen_small,correct_small,gen_large,correct_large
his_columbus,history,In what year did Columbus first reach the Americas?,1492,1492,1,1492,1
his_titanic,history,In what year did the Titanic sink?,1912,1912,1,1912,1
his_president1,history,Who was the first President of the United States?,Washington | George Washington,George Washington,1,George Washington,1
his_president16,history,Who was the 16th President of the United States?,Lincoln | Abraham Lincoln,Barack Obama,0,Abraham Lincoln,1
his_pharaoh,history,Which ancient Egyptian queen was the last active ruler of the Ptolemaic Kingdom?,Cleopatra,Nefertari,0,Cleopatra VII,1
his_indep,history,In what year did India gain independence from British rule?,1947,1947,1,1947,1
geo_river,geography,What is the longest river in the world?,Nile | Amazon,Amazon River,1,Nile,1
geo_mountain,geography,What is the tallest mountain above sea level on Earth?,Everest | Mount Everest,Mount Everest,1,Mount Everest,1
geo_desert,geography,What is the largest hot desert in the world?,Sahara,Nauru Desert,0,Sahara,1
geo_ocean,geography,What is the largest ocean on Earth?,Pacific,Mediterranean Sea,0,Pacific Ocean,1
geo_lake,geography,What is the largest freshwater lake by surface area in the world?,Superior | Lake Superior,Great Lakes,0,Lake Superior,1
geo_country,geography,What is the largest country in the world by land area?,Russia,Russia,1,Russia,1
geo_smallest,geography,What is the smallest country in the world by area?,Vatican | Vatican City,Bolivia,0,Vatican City,1
geo_volcano,geography,What is the largest active volcano on Earth by volume?,Mauna Loa,Etna,0,Kilauea,0
geo_strait,geography,Which strait separates Spain from Morocco?,Gibraltar | Strait of Gibraltar,Baltic Sea,0,Straight of Gibraltar,1
lit_romeo,literature,Who wrote the play 'Romeo and Juliet'?,Shakespeare | William Shakespeare,William Shakespeare,1,William Shakespeare,1
lit_1984,literature,Who wrote the novel '1984'?,Orwell | George Orwell,George Orwell,1,George Orwell,1
lit_pride,literature,Who wrote the novel 'Pride and Prejudice'?,Austen | Jane Austen,Jane Austen wrote the novel 'Pride and Prejudice'.,1,Jane Austen,1
lit_warpeace,literature,Who wrote the novel 'War and Peace'?,Tolstoy | Leo Tolstoy,Leo Tolstoy wrote the novel 'War and Peace'.,1,Leo Tolstoy,1
lit_odyssey,literature,Who is the ancient Greek poet traditionally credited as author of the Odyssey?,Homer,Homer,1,Homer,1
lit_mona,literature,Who painted the Mona Lisa?,da Vinci | Leonardo | Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,1,Leonardo da Vinci,1
lit_starry,literature,Who painted 'The Starry Night'?,van Gogh | Vincent van Gogh,Vincent van Gogh painted 'The Starry Night'.,1,Vincent van Gogh,1
lit_guernica,literature,Who painted 'Guernica'?,Picasso | Pablo Picasso,Domingo Roa Bastidas,0,Pablo Picasso,1
spo_wc2018,sports,Which country won the 2018 FIFA World Cup?,France,Brazil won the 2018 FIFA World Cup.,0,France,1
spo_wc2014,sports,Which country won the 2014 FIFA World Cup?,Germany,Brazil won the 2014 FIFA World Cup.,0,Germany,1
spo_olymp2016,sports,Which city hosted the 2016 Summer Olympics?,Rio | Rio de Janeiro,"Tokyo, Japan",0,Rio de Janeiro,1
spo_olymp2012,sports,Which city hosted the 2012 Summer Olympics?,London,London,1,London,1
spo_marathon,sports,"How many kilometers long is a marathon, rounded to the nearest whole number?",42,42 kilometers,1,42.195,0
mis_currency_jp,misc,What is the official currency of Japan?,yen,Yen (JPY),1,Japanese yen,1
mis_currency_in,misc,What is the official currency of India?,rupee | rupees,Indian Rupee (INR),1,Indian rupee,1
mis_currency_pl,misc,What is the official currency of Poland?,zloty | złoty,Polish złoty (PLN),1,Złoty,1
mis_currency_se,misc,What is the official currency of Sweden?,krona | kronor,Swedish krona (kr),1,Swedish krona,1
mis_language_br,misc,What is the official language of Brazil?,Portuguese,Portuguese,1,Portuguese,1
mis_language_at,misc,What is the official language of Austria?,German,Austrian Language,0,German,1
mis_continents,misc,"How many continents are there on Earth, by the common seven-continent model?",7 | seven,seven,1,7,1
mis_planets,misc,How many planets are in our solar system as of 2024?,8 | eight,8,1,8,1
mis_keys,misc,How many keys are on a standard full-size piano?,88,108,0,88,1
mis_chess,misc,How many squares are on a standard chessboard?,64,81,0,64,1
mis_bones,misc,How many bones are in the adult human body?,206,204 bones,0,206,1
mis_amendments,misc,How many amendments are in the United States Constitution as of 2024?,27 | twenty-seven | twenty seven,Eight amendments to the United States Constitution as of 2024.,0,27,1
cap_vn,capital,What is the capital city of Vietnam?,Hanoi,Hanoi,1,Hanoi,1
cap_id,capital,What is the capital city of Indonesia?,Jakarta,Jakarta,1,Jakarta,1
cap_sa,capital,What is the capital city of Saudi Arabia?,Riyadh,Riyadh,1,Riyadh,1
cap_no,capital,What is the capital city of Norway?,Oslo,Oslo,1,Oslo,1
cap_fi,capital,What is the capital city of Finland?,Helsinki,Vienna,0,Helsinki,1
cap_hr,capital,What is the capital city of Croatia?,Zagreb,Zagreb,1,Zagreb,1
cap_rs,capital,What is the capital city of Serbia?,Belgrade,Belgrade,1,Belgrade,1
cap_ro,capital,What is the capital city of Romania?,Bucharest,Bucharest,1,Bucharest,1
cap_bg,capital,What is the capital city of Bulgaria?,Sofia,Burgos,0,Sofia,1
cap_pe,capital,What is the capital city of Peru?,Lima,Peru's capital city is Lima.,1,Lima,1
cap_cl,capital,What is the capital city of Chile?,Santiago,Santiago,1,Santiago,1
cap_co,capital,What is the capital city of Colombia?,Bogota | Bogotá,Bogotá,1,Bogotá,1
cap_et,capital,What is the capital city of Ethiopia?,Addis Ababa,Addis Ababa,1,Addis Ababa,1
cap_gh,capital,What is the capital city of Ghana?,Accra,Accra,1,Accra,1
cap_si,capital,What is the capital city of Slovenia?,Ljubljana,Ljubljana,1,Ljubljana,1
cap_sk,capital,What is the capital city of Slovakia?,Bratislava,Bratislava,1,Bratislava,1
us_ky,us_capital,What is the capital of the U.S. state of Kentucky?,Frankfort,Frankfort,1,Frankfort,1
us_me,us_capital,What is the capital of the U.S. state of Maine?,Augusta,Ogunquit,0,Augusta,1
us_sd,us_capital,What is the capital of the U.S. state of South Dakota?,Pierre,Bismarck,0,Pierre,1
us_vt,us_capital,What is the capital of the U.S. state of Vermont?,Montpelier,Vermont's capital is Montpelier.,1,Montpelier,1
us_nv,us_capital,What is the capital of the U.S. state of Nevada?,Carson City,Las Vegas,0,Las Vegas,0
us_ak,us_capital,What is the capital of the U.S. state of Alaska?,Juneau,Juneau,1,Juneau,1
us_nd,us_capital,What is the capital of the U.S. state of North Dakota?,Bismarck,Bismarck,1,Bismarck,1
cur_th,misc,What is the official currency of Thailand?,baht,Thailand's official currency is the Thai Baht (THB).,1,Thai Baht,1
cur_vn,misc,What is the official currency of Vietnam?,dong | đồng,VND (Vietnamese Namibian Dollar),0,Vietnam Dong,1
cur_kr,misc,What is the official currency of South Korea?,won,South Korean won,1,Won,1
cur_cz,misc,What is the official currency of the Czech Republic?,koruna,Czech koruna (CZK),1,Czech koruna,1
cur_dk,misc,What is the official currency of Denmark?,krone,Danish Krone,1,Danish krone,1
cur_hu,misc,What is the official currency of Hungary?,forint,Hungarian forints (Ft),0,HUF,0
cur_za,misc,What is the official currency of South Africa?,rand,South Africa's official currency is the rand (ZAR).,1,Rand,1
geo_island,geography,What is the largest island in the world?,Greenland,Guam,0,Greenland,1
geo_medisland,geography,What is the largest island in the Mediterranean Sea?,Sicily,Sardinia,0,Sicily,1
geo_africamt,geography,What is the highest mountain in Africa?,Kilimanjaro,Mount Kilimanjaro,1,Mount Kilimanjaro,1
geo_namt,geography,What is the highest mountain in North America?,Denali | McKinley,Mount McKinley,1,Denali,1
geo_samt,geography,What is the highest mountain in South America?,Aconcagua,Mount Everest,0,Aconcagua,1
geo_deeplake,geography,What is the deepest lake in the world?,Baikal | Lake Baikal,Great Barrier Reef,0,Lake Baikal,1
geo_waterfall,geography,What is the highest waterfall in the world?,Angel Falls | Angel,Vadodara Waterfall,0,Angel Falls,1
geo_africabig,geography,What is the largest country in Africa by land area?,Algeria,Zambia,0,Algeria,1
geo_asiarriver,geography,What is the longest river in Asia?,Yangtze,Yangtze River,1,Yangtze River,1
geo_uscounty,geography,Which U.S. state has the most counties?,Texas,Delaware,0,Texas,1
el_hg,science,What is the chemical symbol for mercury?,Hg,Hg,1,Hg,1
el_ag,science,What is the chemical symbol for silver?,Ag,Ag,1,Ag,1
el_sn,science,What is the chemical symbol for tin?,Sn,Sn,1,Sn,1
el_sb,science,What is the chemical symbol for antimony?,Sb,Sb,1,Sb,1
el_fe_num,science,What is the atomic number of iron?,26,Iron has an atomic number of 26.,1,26,1
el_u_num,science,What is the atomic number of uranium?,92,Uranium has an atomic number of 92.,1,92,1
bio_mito,science,Which organelle is known as the powerhouse of the cell?,mitochondria | mitochondrion,The organelle known as the powerhouse of the cell is the mitochondrion.,1,Mitochondria,1
bio_gas,science,What is the most abundant gas in Earth's atmosphere?,nitrogen,Nitrogen (N2),1,Nitrogen,1
bio_chrom,science,How many pairs of chromosomes does a typical human have?,23 | twenty-three,23 pairs,1,46,0
phy_mendeleev,science,Who is known as the father of the periodic table?,Mendeleev | Dmitri Mendeleev,Jöns Jacob Berzelius,0,Dmitri Mendeleev,1
phy_relativity,science,Who developed the theory of general relativity?,Einstein | Albert Einstein,Albert Einstein,1,Albert Einstein,1
his_civilwar,history,In what year did the American Civil War begin?,1861,1861,1,1861,1
his_ussr,history,In what year did the Soviet Union dissolve?,1991,1991,1,1991,1
his_ww1,history,In what year did the First World War begin?,1914,1914,1,1914,1
his_chernobyl,history,In what year did the Chernobyl nuclear disaster occur?,1986,1986,1,1986,1
his_penicillin,history,Who discovered penicillin?,Fleming | Alexander Fleming,Elias Hillel Smendyek discovered penicillin in 1928.,0,Alexander Fleming,1
his_gagarin,history,Who was the first human to travel into space?,Gagarin | Yuri Gagarin,Sally Ride,0,Yuri Gagarin,1
his_sistine,history,Who painted the ceiling of the Sistine Chapel?,Michelangelo,Niccolò di Buonarroti,0,Michelangelo,1
his_mayflower,history,Which ship carried the Pilgrims to America in 1620?,Mayflower,"Pilgrim ship ""Pegasi""",0,Mayflower,1
his_genghis,history,Which empire was founded and ruled by Genghis Khan?,Mongol | Mongol Empire,Mongol Empire,1,Mongol Empire,1
